millis,frequency
6920567,4.575633
6921567,4.637875
6922567,4.591389
6923567,4.62978
6924567,4.681648
6925567,4.637982
6926567,4.612078
6927567,4.654258
6928567,4.669515
6929567,4.618383
6930567,4.589198
6931567,4.592296
6932567,4.612823
6933567,4.621051
6934567,4.6506
6935567,4.607573
6936567,4.668556
6937567,4.634543
6938567,4.674929
6939567,4.569423
6940567,4.614568
6941567,4.646193
6942567,4.668643
6943567,4.669428
6944567,4.678801
6945567,4.643539
6946567,4.693976
6947567,4.693359
6948567,4.647747
6949567,4.638133
6950567,4.603585
6951567,4.639661
6952567,4.634114
6953567,4.678757
6954567,4.667401
6955567,4.590841
6956567,4.679895
6957567,4.695519
6958567,4.644682
6959567,4.628151
6960567,4.639941
6961567,4.640371
6962567,4.670867
6963567,4.66294
6964567,4.665376
6965567,4.631795
6966567,4.658812
6967567,4.722416
6968567,4.655667
6969567,4.660636
6970567,4.621713
6971567,4.65623
6972567,4.628258
6973567,4.672592
6974567,4.674732
6975567,4.686606
6976567,4.568358
6977567,4.633985
6978567,4.666203
6979567,4.626353
6980567,4.687288
6981567,4.671391
6982567,4.6548
6983567,4.636671
6984567,4.666595
6985567,4.607892
6986567,4.681253
6987567,4.68909
6988567,4.61025
6989567,4.659832
6990567,4.691312
6991567,4.666378
6992567,4.661287
6993567,4.653241
6994567,4.645998
6995567,4.65441
6996567,4.610845
6997567,4.615463
6998567,4.649973
6999567,4.667902
7000567,4.66958
7001567,4.651963
7002567,4.687397
7003567,4.66921
7004567,4.665506
7005567,4.652418
7006567,4.639575
7007567,4.629587
7008567,4.647423
7009567,4.670279
7010567,4.680202
7011567,4.613121
7012567,4.674383
7013567,4.682086
7014567,4.659811
7015567,4.653457
7016567,4.686497
7017567,4.619919
7018567,4.691246
7019567,4.681231
7020567,4.709095
7021567,4.7263
7022567,4.663548
7023567,4.66993
7024567,4.667118
7025567,4.680925
7026567,4.673203
7027567,4.693954
7028567,4.713268
7029567,4.637101
7030567,4.635446
7031567,4.653024
7032567,4.663114
7033567,4.639854
7034567,4.628944
7035567,4.649282
7036567,4.683029
7037567,4.672897
7038567,4.67694
7039567,4.698034
7040567,4.65738
7041567,4.646387
7042567,4.699844
7043567,4.671827
7044567,4.656729
7045567,4.634822
7046567,4.67635
7047567,4.722483
7048567,4.680245
7049567,4.624919
7050567,4.646257
7051567,4.694087
7052567,4.653847
7053567,4.627701
7054567,4.638068
7055567,4.652223
7056567,4.665616
